Epoch: [1][620/1042]	 Time 0.350 (1.837)	 Data 0.000 (1.486)	 Loss 0.409 (0.381)	 EPE 2.610 (2.416)
Epoch: [1][630/1042]	 Time 0.348 (1.835)	 Data 0.000 (1.484)	 Loss 0.331 (0.380)	 EPE 2.110 (2.411)
Epoch: [1][640/1042]	 Time 1.460 (1.833)	 Data 1.130 (1.482)	 Loss 0.282 (0.379)	 EPE 1.710 (2.407)
Epoch: [1][650/1042]	 Time 5.795 (1.843)	 Data 5.466 (1.492)	 Loss 0.290 (0.379)	 EPE 1.873 (2.407)
Epoch: [1][660/1042]	 Time 0.352 (1.841)	 Data 0.000 (1.490)	 Loss 0.292 (0.378)	 EPE 1.744 (2.400)
Epoch: [1][670/1042]	 Time 0.392 (1.835)	 Data 0.044 (1.485)	 Loss 0.381 (0.377)	 EPE 2.307 (2.393)
Epoch: [1][680/1042]	 Time 0.347 (1.834)	 Data 0.000 (1.483)	 Loss 0.269 (0.376)	 EPE 1.776 (2.385)
Epoch: [1][690/1042]	 Time 7.965 (1.839)	 Data 7.634 (1.489)	 Loss 0.348 (0.375)	 EPE 2.091 (2.378)
Epoch: [1][700/1042]	 Time 0.362 (1.836)	 Data 0.000 (1.486)	 Loss 0.451 (0.374)	 EPE 2.880 (2.374)
Epoch: [1][710/1042]	 Time 0.351 (1.824)	 Data 0.000 (1.474)	 Loss 0.285 (0.373)	 EPE 1.814 (2.368)
Epoch: [1][720/1042]	 Time 0.350 (1.824)	 Data 0.000 (1.474)	 Loss 0.343 (0.372)	 EPE 2.143 (2.363)
Epoch: [1][730/1042]	 Time 6.449 (1.827)	 Data 6.084 (1.477)	 Loss 0.263 (0.372)	 EPE 1.835 (2.362)
Epoch: [1][740/1042]	 Time 0.352 (1.818)	 Data 0.000 (1.469)	 Loss 0.340 (0.371)	 EPE 2.334 (2.355)
Epoch: [1][750/1042]	 Time 0.355 (1.815)	 Data 0.000 (1.465)	 Loss 0.223 (0.370)	 EPE 1.450 (2.346)
Epoch: [1][760/1042]	 Time 0.351 (1.821)	 Data 0.000 (1.471)	 Loss 0.238 (0.369)	 EPE 1.494 (2.341)
Epoch: [1][770/1042]	 Time 0.350 (1.817)	 Data 0.000 (1.467)	 Loss 0.322 (0.368)	 EPE 2.080 (2.335)
Epoch: [1][780/1042]	 Time 0.348 (1.810)	 Data 0.000 (1.460)	 Loss 0.207 (0.368)	 EPE 1.194 (2.332)
Epoch: [1][790/1042]	 Time 0.351 (1.802)	 Data 0.000 (1.452)	 Loss 0.283 (0.367)	 EPE 2.094 (2.332)
Epoch: [1][800/1042]	 Time 0.347 (1.812)	 Data 0.000 (1.462)	 Loss 0.318 (0.367)	 EPE 2.161 (2.331)
Epoch: [1][810/1042]	 Time 1.755 (1.805)	 Data 1.424 (1.455)	 Loss 0.286 (0.367)	 EPE 1.826 (2.328)
Epoch: [1][820/1042]	 Time 0.350 (1.797)	 Data 0.000 (1.448)	 Loss 0.285 (0.366)	 EPE 1.914 (2.323)
Epoch: [1][830/1042]	 Time 0.353 (1.786)	 Data 0.000 (1.437)	 Loss 0.357 (0.365)	 EPE 2.439 (2.320)
Epoch: [1][840/1042]	 Time 0.351 (1.784)	 Data 0.000 (1.434)	 Loss 0.297 (0.365)	 EPE 1.877 (2.319)
Epoch: [1][850/1042]	 Time 2.994 (1.785)	 Data 2.665 (1.436)	 Loss 0.336 (0.364)	 EPE 2.134 (2.312)
Epoch: [1][860/1042]	 Time 0.368 (1.783)	 Data 0.000 (1.433)	 Loss 0.295 (0.364)	 EPE 2.015 (2.309)
Epoch: [1][870/1042]	 Time 0.358 (1.776)	 Data 0.000 (1.426)	 Loss 0.381 (0.363)	 EPE 2.566 (2.305)
Epoch: [1][880/1042]	 Time 0.871 (1.780)	 Data 0.542 (1.430)	 Loss 0.226 (0.362)	 EPE 1.451 (2.301)
